Engineering,Fall,2018
Dept,Number,Section,Title,A,B,C,D,F,I,NR,S,U,W,Instructor
ECE,350,1,Principles of Auto Control,17,18,3,1,0,0,0,0,0,0,Jin
ECE,210,1,Electric Circuit Analysis,89,57,6,0,0,0,0,0,0,0,Fitzgerald
CME,494,3,Structural Loads Determination,12,11,1,0,0,0,0,0,0,1,Mobasseri
CME,396,1,Civil Engr Systems Design,54,15,0,0,0,0,0,0,0,0,Schulenberg
CS,412,2,Intro to Machine Learning,28,19,12,4,0,0,0,0,0,8,Zheleva
BIOE,403,1,Quality Assurance Med Products,40,3,0,0,0,0,0,0,0,0,Bogdanowicz
ECE,424,1,RF Guided Propagation,3,5,1,0,1,0,0,0,0,0,Soury
IE,461,1,Safety Engineering,10,20,1,0,0,0,0,0,0,1,Williams
ME,562,1,Biomedical Implants,12,0,0,0,0,0,0,0,0,0,Mathew
ECE,516,1,Adaptive Digital Filters,8,6,0,0,0,0,0,0,0,1,Soltanalian
ECE,458,1,Electromech Energy Conversn,9,11,11,5,0,0,0,0,0,1,Revelo Alonso
IE,594,4,Time Series Analy&Forecasting,19,7,13,0,0,0,0,0,0,0,Li
ECE,594,2,High Performance ICs/Systems,8,8,1,0,0,0,0,0,0,0,Partin Vaisband
BIOE,472,1,Neural Models,5,5,12,0,0,0,0,0,0,1,Patton
ME,211,1,Fluid Mechanics l,0,0,0,0,0,0,74,0,0,0,Megaridis
BIOE,431,1,Bioinstrumentation I Lab,23,9,0,0,0,0,0,0,0,0,Wang
ME,380,1,Manufacturing Process Princ,20,46,24,0,0,0,0,0,0,1,Subramanian
CS,553,1,Distributed Systems,15,6,3,0,1,0,0,0,0,0,Kshemkalyani
CME,402,1,Highway Design,21,12,8,0,0,0,2,0,0,1,McDonald
ECE,265,1,Intro to Logic Design,46,31,10,3,5,0,0,0,0,6,Fitzgerald
CHE,425,1,Nanotechnology for Pharm Apps,12,0,0,0,0,0,0,0,0,1,Liu
ENGR,294,1,Adv Additive Manufacturing,10,1,0,0,0,0,0,0,0,0,Grad Asst
ECE,421,1,Intro to Antenna Propagation,22,4,0,0,0,0,0,0,0,0,Chen
CS,111,3,Program Design I,36,27,11,3,14,2,0,0,0,13,Sloan
ME,312,1,Dynamic Syst & Control,17,25,36,13,1,0,0,0,0,2,Kim
ECE,342,1,Electronics II,18,11,11,0,0,0,0,0,0,0,Metlushko
CS,411,2,Artificial Intelligence I,23,9,4,2,1,0,0,0,0,11,Kash
CS,362,1,Computer Design,46,63,15,8,4,0,0,0,0,4,Theys
ME,518,1,Fund of Turbulance,3,7,1,0,0,0,0,0,0,0,Paoli
ME,205,1,Intro to Thermodynamics,48,24,31,16,14,0,0,0,0,4,Manafzadeh
CS,466,1,Adv Computer Architecture,4,9,6,0,0,0,0,0,0,0,Zhu
IE,201,1,Financial Engineering,48,67,43,39,15,1,0,0,0,8,Hu
IE,342,1,Probability & Stat for Engr,34,54,26,14,3,0,0,0,0,6,Reckinger
CS,425,1,Computer Graphics I,3,5,5,4,2,0,3,0,0,6,Kenyon
CS,521,1,Stat Natural Lang Processing,14,7,0,0,0,0,0,0,0,0,Di Eugenio
ME,496,1,Undergrad Sen Design Thesis I,10,0,0,0,0,0,0,0,0,0,Komperda
CME,503,1,Adv Trans Demand Analysis,11,0,0,0,0,0,0,0,0,0,Shabanpour Anbarani
CS,598,1,MS Thesis Research,0,0,0,0,0,0,0,24,0,0,Kenyon
BIOE,406,1,Regulation - Medical Tech,9,2,1,0,0,0,0,0,0,0,Layton
ME,250,2,Intro to Engineering Design,73,10,5,0,0,0,0,0,0,0,Siow
CME,493,1,Seminar,17,0,0,0,0,0,0,0,0,0,Zou
ME,421,1,Intermediate Heat Transfer,11,4,1,0,0,0,0,0,0,0,Jung
CHE,410,1,Transport Phenomena,10,9,0,0,0,0,0,0,0,1,Sharma
ECE,517,1,Digital Image Processing,14,5,0,0,0,0,0,0,0,0,Schonfeld
BIOE,525,1,Cellular Biomechanics,13,0,0,0,0,0,0,0,0,1,Lee
CS,502,1,Computational Biology,12,1,0,0,0,0,0,0,0,0,Berger-Wolf
CME,494,1,Construction Engrg Management,23,12,4,0,0,0,0,0,0,0,Ataei
CS,261,1,Machine Organization,46,75,29,21,9,0,0,0,0,25,Theys
ME,370,1,Mechanical Engineering Design,22,31,26,11,1,0,0,0,0,0,Saggere
CME,310,1,Reinforc Concrete Struc Design,9,10,9,3,0,0,0,0,0,1,Issa
CHE,381,1,Chem Engr Lab I,31,29,0,0,0,0,0,0,0,1,Zdunek
CME,406,1,Bridge Design I,26,8,9,1,0,0,0,0,0,2,Issa
CS,584,1,Advanced Data Mining,14,4,0,0,0,0,0,0,0,0,Yu
ECE,499,1,Prof. Development Seminar,0,0,0,0,0,0,0,55,0,0,Devroye
BIOE,339,1,Biostatistics I,14,15,5,4,1,0,0,0,0,1,Wang
ECE,434,1,Multimedia Systems,7,6,3,0,0,0,0,0,0,1,Schonfeld
CME,205,1,Structural Analysis I,14,18,10,3,1,0,0,0,0,1,Chi
CS,110,1,MATLAB for Engineers,25,14,3,3,3,0,0,0,0,0,Reckinger
ENGR,194,3,Intro to CyberSecurity,9,7,4,0,1,0,0,0,0,1,Polakis
CME,203,1,Strength Of Materials,18,23,35,9,2,0,0,0,0,3,Karpov
CS,301,1,Languages and Automata,46,63,56,8,7,0,0,0,0,6,McCarty
CS,559,1,Neural Networks,20,19,1,0,0,0,0,0,0,1,Koyuncu
CHE,312,1,Transport Phenomena II,1,6,1,2,0,0,0,0,0,2,Chaplin
ME,413,1,Dynamics of Mechanical Systems,14,13,2,1,0,0,0,0,0,5,Shabana
CS,596,1,Individual Study,17,0,0,0,0,0,0,0,0,0,Ohlsson
ECE,396,1,Senior Design I,12,1,0,0,0,0,0,0,0,1,Abu Salah
CME,494,2,Introduction to Matlab,9,3,1,0,0,0,0,0,0,2,Foster
CS,151,1,Foundations of Computing,107,73,46,19,23,1,0,0,0,14,Bello Lander
IE,473,1,Stochastic Processes & Queuing,6,13,13,6,0,0,0,0,0,0,Darabi
ECE,466,1,Adv Computer Architecture,29,25,3,0,0,0,0,0,0,0,Zhu
CS,251,2,Data Structures,20,31,19,7,31,0,0,0,0,10,Troy
CME,516,1,Landfills And Impoundment,17,0,0,0,0,0,0,0,0,2,Reddy
ECE,115,1,Intro to Elec & Cmptr Eng,87,49,31,15,32,0,0,0,0,5,Caliskan
ECE,333,1,Computer Comm Networks I,33,13,3,0,0,0,0,0,0,0,Abu Salah
CS,342,1,Software Design,51,90,17,2,3,1,0,0,0,11,Bell
ECE,311,1,Communication Engineering,26,17,7,3,3,0,0,0,0,0,Smida
CHE,433,1,Aspen Plus Process Simulation,27,0,0,0,0,0,0,0,0,0,Caracotsios
BIOE,460,1,Biomaterials,37,13,3,3,1,0,0,0,0,0,Eddington
ME,594,3,Thin Films In Interfaces,13,5,0,0,0,0,0,0,0,0,Abiade
ENER,501,1,Engineering Project Coord,5,4,2,1,0,0,0,0,0,0,Ryan
CS,491,2,High-Performance Computing,13,7,2,2,1,0,0,0,0,1,Eriksson
IE,594,1,Big Data Analytics,35,17,1,0,0,0,0,0,0,1,He
ENER,424,1,Energy Mgmt & Conservation,15,2,0,0,0,0,0,0,0,0,Ryan
ME,594,1,Exp Methods for Reacting XYS,7,3,0,0,0,0,0,0,0,1,Lynch
CHE,313,1,Transport Phenomena III,4,4,6,3,0,0,0,0,0,1,Wedgewood
CS,594,1,AI Applications: Innov. & Entr,29,0,0,0,0,0,0,0,0,0,Petrov
CS,491,3,Seminar,0,87,0,0,1,0,0,0,0,0,Kenyon
ECE,465,1,Digital Systems Design,4,5,4,3,0,1,0,0,0,6,Dutt
ME,396,2,Senior Design I,83,13,1,0,0,1,0,0,0,0,Komperda
CHE,201,1,Intro to Thermodynamics,22,15,6,4,5,0,0,0,0,5,Bilgin
CME,494,4,Undergrad Sr Design I,13,1,0,0,0,0,0,0,0,0,Schulenberg
ECE,417,1,Digital Signal Processing II,17,10,6,1,1,0,0,0,0,1,Cetin
ENGR,194,2,Exploring Opportunitie in STEM,11,0,0,0,0,1,0,0,0,0,Abiade
IE,595,1,Industrial Engineering Seminar,0,0,0,0,0,0,1,116,3,1,Scott
CME,580,1,Infrastructure Mangement,10,5,3,0,0,0,0,0,0,1,Zou
ME,594,2,Low Dimensional Nanomaterial,21,1,0,0,1,0,0,0,0,0,Lilley
ECE,322,1,Intro to Electromag and Appl,10,9,16,0,1,0,0,0,0,3,Erricolo
